country,gb,days,price_usd,price_per_gb,unlimited
france,1,7,1.5,1.5,no
france,1,3,1.509931796204705,1.51,no
france,0.5,3,0.76,1.52,no
france,1,7,1.5260995200000003,1.526,no
france,1,7,1.53,1.53,no
france,1,5,1.5334022386327573,1.533,no
france,1,3,1.54,1.54,no
france,1,7,1.5412257194421082,1.541,no
france,1,10,1.5490492002514589,1.549,no
france,1,1,1.55,1.55,no
france,1,7,1.55,1.55,no
france,1,7,1.55,1.55,no
france,1,10,1.56,1.56,no
france,1,1,1.56,1.56,no
france,1,15,1.5646961618701607,1.565,no
france,1,7,1.57,1.57,no
france,1,1,1.5723449600000003,1.572,no
france,0.5,1,0.79,1.58,no
france,1,7,1.59,1.59,no
france,1,7,1.59,1.59,no
france,1,5,1.6,1.6,no
france,1,30,1.6,1.6,no
france,1,1,1.6,1.6,no
france,1,1,1.6,1.6,no
france,1,1,1.61,1.61,no
france,1,7,1.64,1.64,no
france,1,15,1.65,1.65,no
france,1,5,1.65,1.65,no
france,1,1,1.6585779315823703,1.659,no
france,0.5,1,0.84,1.68,no
france,0.5,1,0.85,1.7,no
france,0.5,1,0.8555406400000001,1.711,no
france,0.5,1,0.86,1.72,no
france,0.5,1,0.92,1.84,no
france,0.5,1,0.99,1.98,no
france,0.5,1,0.99,1.98,yes
france,0.5,1,0.99,1.98,no
france,0.5,1,1,2,no
france,0.5,1,1.02,2.04,no
france,0.2,1,0.41,2.05,no
france,0.3,1,0.6187396108392997,2.062,yes
france,0.5,1,1.04,2.08,no
france,0.2,1,0.42,2.1,no
france,0.5,1,1.0766069228603816,2.153,yes
france,0.5,1,1.08,2.16,no
france,0.3,1,0.68,2.267,no
france,0.2,1,0.46158536775169734,2.308,no
france,0.2,1,0.46940884856104814,2.347,no
france,0.5,1,1.2,2.4,no
france,0.5,1,1.2023814400000001,2.405,no
france,0.3,1,0.7746111200000001,2.582,no
france,0.5,1,1.34,2.68,no
france,0.3,1,0.82,2.733,no
france,0.5,3,1.4082265456831446,2.816,no
france,0.5,3,1.41,2.82,no
france,0.5,1,1.41,2.82,no
france,0.5,3,1.4238735073018463,2.848,no
france,0.5,1,1.44,2.88,no
france,0.5,1,1.45,2.9,no
france,0.5,1,1.471768269229895,2.944,no
france,0.5,1,1.48,2.96,no
france,0.5,3,1.52,3.04,no
france,0.2,30,0.61,3.05,no
france,0.5,3,1.53,3.06,no
france,0.5,3,1.55,3.1,no
france,0.1,7,0.31215672000000005,3.122,no
france,0.5,3,1.5803431234888623,3.161,no
france,0.5,1,1.59,3.18,no
france,0.5,1,1.59,3.18,no
france,0.5,1,1.6,3.2,no
france,0.5,3,1.6087229881821794,3.217,yes
france,0.5,3,1.6429309699636687,3.286,no
france,0.3,1,0.99,3.3,no
france,0.5,3,1.67,3.34,no
france,0.1,7,0.33411938985322187,3.341,no
france,0.5,1,1.68,3.36,no
france,0.3,1,1.08,3.6,no
france,0.3,1,1.1,3.667,no
france,0.1,7,0.4,4,no
france,0.3,1,1.39,4.633,no
france,0.3,1,1.49,4.967,yes
france,0.1,7,0.5,5,no
france,0.1,1,0.53,5.3,no
france,0.1,7,0.54,5.4,no
france,0.1,30,0.55,5.5,no
france,0.3,2,1.69,5.633,no
france,0.1,7,0.6,6,no
france,0.1,1,0.63,6.3,no
france,0.1,3,0.65,6.5,no
france,0.1,5,0.67,6.7,no
france,0.1,7,0.69,6.9,no
france,0.1,7,0.85,8.5,no
france,0.1,7,0.8555406400000001,8.555,no
france,0.1,1,0.95,9.5,no
france,0.1,3,0.95,9.5,no
france,0.1,5,0.95,9.5,no
france,0.1,7,0.95,9.5,no
france,0.1,1,1,10,no
france,0.1,1,1,10,no
france,0.1,1,1,10,no
france,0.1,7,1.23,12.3,no
france,0.1,7,1.45,14.5,no
